GLOBAL,ap-northeast-1,ap-northeast-2,ap-northeast-3,ap-south-1,ap-southeast-1,ap-southeast-2,ca-central-1,cn-north-1,cn-northwest-1,eu-central-1,eu-north-1,eu-west-1,eu-west-2,eu-west-3,sa-east-1,us-east-1,us-east-2,us-gov-east-1,us-gov-west-1,us-west-1,us-west-2
,52.95.243.0/24,,,,52.95.242.0/24,2406:dafe:c000::/40,,,,2a01:578:13::/64,,87.238.80.0/21,,,2804:800:0:7000::/56,54.88.0.0/14,,,,54.151.0.0/17,52.12.0.0/15
,52.95.255.48/28,,,,52.95.255.32/28,2406:daff:c000::/40,,,,2a05:d000:4000::/40,,172.96.98.0/24,,,2804:800:ff00::/64,54.92.128.0/17,,,,54.153.0.0/17,52.24.0.0/14
,52.192.0.0/15,,,,52.119.205.0/24,2403:b300:ff00::36fc:4f80/122,,,,2a05:d014::/36,,176.32.104.0/21,,,2600:1f1e:7ff:f800::/53,54.144.0.0/14,,,,54.176.0.0/15,52.32.0.0/14
,52.194.0.0/15,,,,52.220.0.0/15,2403:b300:ff00::36fc:fec0/122,,,,2a05:d07f:4000::/40,,176.34.64.0/18,,,2600:1f1e:fff:f800::/53,54.152.0.0/16,,,,54.183.0.0/16,52.36.0.0/14
,52.196.0.0/14,,,,54.151.128.0/17,2406:da1c:7ff:f800::/53,,,,,,176.34.128.0/17,,,2804:800:ff00::36e8:2840/122,54.156.0.0/14,,,,54.193.0.0/16,52.40.0.0/14
,54.64.0.0/15,,,,54.169.0.0/16,2406:da1c:fff:f800::/53,,,,,,178.236.0.0/20,,,2804:800:ff00::b147:cf80/122,54.160.0.0/13,,,,54.215.0.0/16,52.46.180.0/22
,54.92.0.0/17,,,,54.179.0.0/16,2406:daa0:c000::/40,,,,,,185.48.120.0/22,,,2600:1fa0:e000::/40,54.172.0.0/15,,,,54.219.0.0/16,52.75.0.0/16
,54.95.0.0/16,,,,54.251.0.0/16,2406:daf8:c000::/40,,,,,,185.143.16.0/24,,,2600:1ff8:e000::/40,54.174.0.0/15,,,,54.241.0.0/16,52.88.0.0/15
,54.150.0.0/16,,,,54.254.0.0/16,2406:daf9:c000::/40,,,,,,54.228.16.0/26,,,2600:1ff9:e000::/40,54.196.0.0/15,,,,184.72.0.0/18,52.94.116.0/22
,54.168.0.0/16,,,,54.255.0.0/16,2406:dafa:c000::/40,,,,,,176.34.159.192/26,,,2600:1ffa:e000::/40,54.198.0.0/16,,,,184.169.128.0/17,52.94.248.96/28
,54.178.0.0/16,,,,122.248.192.0/18,2403:b300:ff00::/64,,,,,,52.92.40.0/21,,,2600:1f00:e000::/40,54.204.0.0/15,,,,204.236.128.0/18,52.94.249.64/28
,54.199.0.0/16,,,,175.41.128.0/18,2406:da00:c000::/40,,,,,,52.218.0.0/17,,,2600:1f1e::/36,54.208.0.0/15,,,,216.182.236.0/23,52.95.247.0/24
,54.238.0.0/16,,,,13.228.69.0/24,2406:da1c::/36,,,,,,54.231.128.0/19,,,2600:1fff:e000::/40,54.210.0.0/15,,,,52.52.191.128/26,52.95.255.112/28
,54.248.0.0/15,,,,52.220.191.0/26,2406:daff:c000::/40,,,,,,18.200.0.0/16,,,2804:800:ff00::/64,54.221.0.0/16,,,,13.56.32.200/29,54.68.0.0/14
,54.250.0.0/16,,,,52.221.221.128/29,,,,,,,34.240.0.0/13,,,,54.224.0.0/15,,,,2600:1f00:c000::/40,54.148.0.0/15
